mic_id,breakpoint,gene,beta,ef_0.69,ef_1.1,ef_1.61,ef_2.3,abs_beta,important
amikacin,clsi,aac_3_v_ia,-4.4678298334453705,0.4110950705962145,0.8131689278409778,0.990259616618701,0.9999931966121012,4.4678298334453705,TRUE
amikacin,clsi,aac_6_ib,-1.4059438698751958,0.3678524023512059,0.761018825365661,0.9810197501446112,0.9999673431641534,1.4059438698751958,TRUE
amikacin,clsi,aac_6_ib_cr,-2.282930104460211,0.3526903436377199,0.7403855275808159,0.976164748365142,0.99994345981654,2.282930104460211,TRUE
amikacin,clsi,aac_6_ib_cr5,-3.019744812289953,0.3678524023512059,0.761018825365661,0.9810197501446112,0.9999673431641534,3.019744812289953,TRUE
amikacin,clsi,aac_6_ib3,0,0.3826408775689408,0.779942038226978,0.9848472884854254,0.9999808959232296,0,FALSE
amikacin,clsi,aac_6_ib4,-4.801358650382671,0.4110950705962145,0.8131689278409778,0.990259616618701,0.9999931966121012,4.801358650382671,TRUE
amikacin,clsi,aac_6_i_ic,-2.7422147365536933,0.3826408775689408,0.779942038226978,0.9848472884854254,0.9999808959232296,2.7422147365536933,TRUE
amikacin,clsi,rmt_e,0,0.39705493525978586,0.7972843273717803,0.987869303838536,0.9999886761482242,0,FALSE
amikacin,clsi,rmt_e1,0,0.39705493525978586,0.7972843273717803,0.987869303838536,0.9999886761482242,0,FALSE
amikacin,clsi,dog,0,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0,FALSE
amikacin,clsi,horse,4.313313723235503e-4,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,4.313313723235503e-4,FALSE
amikacin,clsi,binary,-1.4941072223449583,0.32125657780629374,0.6934496664215242,0.9621647993631306,0.999824288997543,1.4941072223449583,TRUE
amikacin,clsi,count,21.257519210284897,0.45245129546666113,0.8687919647626373,0.9944282279944208,0.999937424818618,21.257519210284897,TRUE
amikacin,clsi,dog:aac_3_v_ia,-0.00757750802584705,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.00757750802584705,TRUE
amikacin,clsi,horse:aac_3_v_ia,0.01732101389758221,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.01732101389758221,TRUE
amikacin,clsi,dog:aac_6_ib,-0.02699412319444358,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.02699412319444358,TRUE
amikacin,clsi,horse:aac_6_ib,0.03301992477395431,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.03301992477395431,TRUE
amikacin,clsi,dog:aac_6_ib_cr,-0.03466828366326548,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.03466828366326548,TRUE
amikacin,clsi,horse:aac_6_ib_cr,0.03249041741622786,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.03249041741622786,TRUE
amikacin,clsi,dog:aac_6_ib_cr5,-0.02763036090941496,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.02763036090941496,TRUE
amikacin,clsi,horse:aac_6_ib_cr5,0.02150172952917689,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.02150172952917689,TRUE
amikacin,clsi,dog:aac_6_ib3,-0.01540284547393142,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.01540284547393142,TRUE
amikacin,clsi,horse:aac_6_ib3,0.00705563543704,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.00705563543704,TRUE
amikacin,clsi,dog:aac_6_ib4,-0.0085648493717501,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.0085648493717501,TRUE
amikacin,clsi,horse:aac_6_ib4,0.0041807137485599,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.0041807137485599,TRUE
amikacin,clsi,dog:aac_6_i_ic,-0.00213248105154046,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564,0.00213248105154046,TRUE
amikacin,clsi,horse:aac_6_i_ic,0.00106619590167132,0.21864793199378585,0.49780684995417834,0.845073825586425,0.9933958763547396,0.00106619590167132,TRUE
