gene,gene_type,cattle,dog,cat,horse,chicken,swine,turkey
aac(3)-IVa,chromosome,NA,NA,NA,NA,1,5,2
aph(4)-Ia,chromosome,NA,NA,NA,NA,1,5,2
blaTEM-104,chromosome,3,2,1,NA,NA,5,NA
ColE10,plasmid,NA,NA,NA,NA,1,5,NA
erm(B),chromosome,NA,4,NA,NA,NA,5,NA
erm(B)8,chromosome,NA,4,NA,NA,NA,5,NA
sul10,chromosome,2,NA,NA,5,NA,5,NA
aac(6')-Ib4,chromosome,1,NA,NA,5,NA,NA,NA
arr,chromosome,NA,NA,1,5,NA,3,NA
blaSHV-12,chromosome,NA,NA,NA,5,NA,3,NA
fosA7,chromosome,3,1,1,5,1,2,NA
tet(D),chromosome,NA,NA,NA,5,NA,2,NA
blaCTX-M-14,chromosome,2,5,2,1,NA,NA,NA
blaCTX-M-27,chromosome,4,1,NA,NA,NA,1,NA
IncFIB(pB171)_pB171,plasmid,4,2,1,2,NA,1,1
rmtE,chromosome,4,NA,NA,1,NA,1,NA
rmtE1,chromosome,4,NA,NA,1,NA,1,NA
aac(3)-II,chromosome,2,NA,NA,4,NA,4,NA
blaHER-3,chromosome,NA,NA,NA,NA,NA,NA,4
blaHERA-3,chromosome,NA,NA,NA,NA,NA,NA,4
aac(3)-IIb,chromosome,NA,NA,NA,4,NA,3,NA
aac(6')-IIc,chromosome,NA,NA,NA,4,NA,3,NA
arr-269927220,chromosome,NA,NA,NA,4,NA,3,NA
dfrA19,chromosome,NA,NA,NA,4,NA,1,NA
ere(A),chromosome,1,NA,NA,4,NA,3,NA
fosA7.5,chromosome,2,1,NA,4,NA,2,NA
mcr-9,chromosome,NA,NA,NA,4,NA,1,NA
mcr-9.1,chromosome,NA,NA,NA,4,NA,1,NA
IncI_Gamma,plasmid,3,4,2,1,1,1,NA
aac(3)-IIe,chromosome,3,2,2,1,NA,2,1
aadA17,chromosome,3,NA,NA,NA,1,2,NA
aadA25,chromosome,3,NA,NA,NA,NA,2,NA
aph(3')-IIa,chromosome,3,3,NA,1,2,1,NA
blaTEM-105,chromosome,3,1,NA,1,1,NA,NA
blaTEM-1C,chromosome,3,1,1,1,2,1,NA
blaTEM-235,chromosome,3,1,1,1,2,1,NA
ble,chromosome,3,2,NA,NA,1,1,NA
ble_Tn5,chromosome,3,2,NA,NA,1,1,NA
sul24,chromosome,3,NA,NA,1,NA,NA,NA
aac(3)-IV,chromosome,NA,NA,NA,NA,1,3,NA
ant(2'')-Ia,chromosome,1,2,NA,3,1,3,NA
lnu(G),chromosome,NA,1,NA,NA,NA,3,NA
mph(E),chromosome,NA,NA,NA,3,NA,3,NA
msr(E),chromosome,NA,NA,NA,3,NA,3,NA
IncFII(pCRY)_pCRY,plasmid,NA,2,2,3,2,1,NA
dfrA7,chromosome,2,3,NA,1,NA,NA,NA
IncP1,plasmid,2,3,NA,2,NA,NA,NA
aac(6')-Ib,chromosome,2,1,NA,2,NA,1,NA
arsB-mob,chromosome,2,NA,NA,NA,NA,NA,NA
blaTEM-102,chromosome,2,1,NA,NA,NA,1,NA
Col(MGD2),plasmid,2,1,NA,NA,1,2,1
dfrA36,chromosome,2,NA,NA,2,NA,NA,NA
oqxB,chromosome,2,1,NA,NA,NA,NA,NA
pENTAS02,plasmid,2,NA,NA,NA,NA,1,NA
aadA7,chromosome,1,NA,NA,NA,NA,2,NA
armA,chromosome,NA,NA,NA,NA,NA,2,NA
blaTEM-141,chromosome,1,NA,NA,NA,NA,2,NA
IncX2,plasmid,NA,NA,NA,NA,NA,2,NA
IncI2,plasmid,NA,NA,NA,NA,2,1,NA
IncX9,plasmid,1,NA,NA,1,2,NA,NA
aac(3)-IIg,chromosome,NA,NA,NA,2,NA,NA,NA
aac(6')-Ib3,chromosome,NA,NA,NA,2,NA,NA,NA
blaI_of_Z,chromosome,NA,NA,NA,2,NA,NA,NA
aph(6)-Ic,chromosome,1,2,NA,NA,1,1,NA
blaCMY,chromosome,NA,2,NA,1,NA,1,NA
cmlA,chromosome,1,2,NA,NA,NA,1,NA
A7J112581,chromosome,1,NA,NA,NA,NA,NA,NA
arr-2,chromosome,1,NA,1,NA,NA,1,NA
blaA_Mtub,chromosome,1,NA,NA,1,NA,NA,NA
blaCARB-2,chromosome,1,1,NA,NA,NA,NA,1
blaCFE-1,chromosome,1,NA,NA,NA,NA,NA,NA
blaCMY-113,chromosome,1,NA,NA,NA,NA,NA,NA
blaCMY-40,chromosome,1,NA,NA,NA,NA,NA,NA
blaLAP-2,chromosome,1,NA,NA,NA,NA,1,NA
blaOXA-395,chromosome,1,NA,NA,NA,NA,NA,NA
blaROB-1,chromosome,1,1,NA,NA,NA,NA,NA
blaTEM-101,chromosome,1,1,NA,NA,NA,NA,NA
blaTEM-185,chromosome,1,NA,NA,NA,NA,NA,NA
