mic_id,breakpoint,gene,possible,important,possible_loo,important_loo,s0,ef_2,ef_3,ef_5,ef_10
ampicillin,clsi,cattle:cmy_113,TRUE,TRUE,TRUE,FALSE,0.00397766724638702,0.9434255285454504,0.9993996657280452,0.9999990540405176,0.9999999967788272
ampicillin,clsi,cattle:cmy_130,TRUE,TRUE,TRUE,FALSE,0,0.9434255285454504,0.9993996657280452,0.9999990540405176,0.9999999967788272
doxycycline,ecoff,tet34,TRUE,TRUE,TRUE,FALSE,-4.4785966878083325,0.4286507220505067,0.8327133929601481,0.9929072232685134,0.999997021059278
doxycycline,ecoff,tet_a,TRUE,TRUE,TRUE,FALSE,-1.609123570036307,0.5688421332736578,0.9355146690051498,0.9993877944276544,0.9999999847854236
doxycycline,ecoff,cat:tet34,TRUE,TRUE,TRUE,FALSE,0.02235674691185547,0.6300925588363403,0.9607211265714306,0.9998123315332044,0.999999998323022
doxycycline,ecoff,cat:tet_a,TRUE,TRUE,TRUE,FALSE,0.02958595393962163,0.6300925588363403,0.9607211265714306,0.9998123315332044,0.999999998323022
doxycycline,ecoff,cat:tet_b,TRUE,TRUE,TRUE,FALSE,0.0263871235023548,0.6300925588363403,0.9607211265714306,0.9998123315332044,0.999999998323022
doxycycline,ecoff,cat:tet_m,TRUE,TRUE,TRUE,FALSE,0.01899366765850007,0.6300925588363403,0.9607211265714306,0.9998123315332044,0.999999998323022
doxycycline,ecoff,cat:binary,TRUE,TRUE,TRUE,FALSE,0.01191599525497028,0.6300925588363403,0.9607211265714306,0.9998123315332044,0.999999998323022
doxycycline,ecoff,cat:count,TRUE,TRUE,TRUE,FALSE,0.0067782995920998,0.6300925588363403,0.9607211265714306,0.9998123315332044,0.999999998323022
tetracycline,ecoff,tet_m,TRUE,TRUE,TRUE,FALSE,-5.943708679026982,0.9910432631233174,0.999999199379332,0.999999999999976,1
tetracycline,ecoff,chicken,TRUE,TRUE,TRUE,FALSE,0.0202056793613011,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle,TRUE,TRUE,TRUE,FALSE,0.18892575814397228,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,cattle:otr_a,TRUE,TRUE,TRUE,FALSE,0.15186248229682262,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:otr_a,TRUE,TRUE,TRUE,FALSE,0.12341826248032071,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:tet34,TRUE,TRUE,TRUE,FALSE,0.05135300675531194,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:tet34,TRUE,TRUE,TRUE,FALSE,0.12118553295622445,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,chicken:tet_a,TRUE,TRUE,TRUE,FALSE,0.10792961290840485,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:tet_b,TRUE,TRUE,TRUE,FALSE,0.03061516404780624,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:tet_b,TRUE,TRUE,TRUE,FALSE,0.08041566992828043,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:tet_c,TRUE,TRUE,TRUE,FALSE,0.02721666289899296,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:tet_c,TRUE,TRUE,TRUE,FALSE,0.05238827371010488,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:tet_d,TRUE,TRUE,TRUE,FALSE,0.0205286716656296,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:tet_d,TRUE,TRUE,TRUE,FALSE,0.03092963942417621,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:tet_m,TRUE,TRUE,TRUE,FALSE,0.01319807712970536,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:tet_m,TRUE,TRUE,TRUE,FALSE,0.01676382580769429,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:binary,TRUE,TRUE,TRUE,FALSE,0.00737833165763354,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:binary,TRUE,TRUE,TRUE,FALSE,0.00844296593640799,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
tetracycline,ecoff,cattle:count,TRUE,TRUE,TRUE,FALSE,0.00370351132553113,0.9857081690627018,0.9999979560460518,0.9999999999999512,1
tetracycline,ecoff,chicken:count,TRUE,TRUE,TRUE,FALSE,0.00400342343979735,0.9878934706189648,0.9999985830730824,0.9999999999999678,1
amoxicillin,ecoff,bla_tem_1,TRUE,TRUE,TRUE,FALSE,0,0.28049785629271995,0.6135749329054792,0.9197400312802958,0.9982056339475333
amoxicillin,ecoff,bla_tem_1b,TRUE,TRUE,TRUE,FALSE,0,0.34050178356923455,0.708155638942612,0.9600763953378548,0.9995407405981334
neomycin,ecoff,cattle:aac_3_i_va,TRUE,TRUE,TRUE,FALSE,0.01010292317925096,0.7055987396571161,0.9823430272220324,0.9999779132042256,0.9999999999899382
spectinomycin,ecoff,swine,TRUE,TRUE,TRUE,FALSE,-0.00433376412890294,0.7568241035650572,0.989972485115182,0.9999930835140172,0.9999999999975978
