mic_id,breakpoint,model,host_animal_common,.metric,.estimator,.estimate
marbofloxacin,clsi,Base,dog,accuracy,binary,0.2
marbofloxacin,clsi,Base,dog,f_meas,binary,NA
orbifloxacin,clsi,Base,dog,spec,binary,1
orbifloxacin,clsi,Base,dog,sens,binary,0
orbifloxacin,clsi,Base,dog,ppv,binary,NA
orbifloxacin,clsi,Base,dog,npv,binary,0.2702702702702703
orbifloxacin,clsi,Base,dog,accuracy,binary,0.2702702702702703
orbifloxacin,clsi,Base,dog,f_meas,binary,NA
piperacillin_tazobactam,clsi,Base,dog,spec,binary,1
piperacillin_tazobactam,clsi,Base,dog,sens,binary,0.8157894736842105
piperacillin_tazobactam,clsi,Base,dog,ppv,binary,1
piperacillin_tazobactam,clsi,Base,dog,npv,binary,0.12500000000000008
piperacillin_tazobactam,clsi,Base,dog,accuracy,binary,0.8205128205128205
piperacillin_tazobactam,clsi,Base,dog,f_meas,binary,0.898550724637681
pradofloxacin,clsi,Base,dog,spec,binary,1
pradofloxacin,clsi,Base,dog,sens,binary,0
pradofloxacin,clsi,Base,dog,ppv,binary,NA
pradofloxacin,clsi,Base,dog,npv,binary,0.18604651162790697
pradofloxacin,clsi,Base,dog,accuracy,binary,0.18604651162790697
pradofloxacin,clsi,Base,dog,f_meas,binary,NA
ceftiofur,clsi,Base,cattle,spec,binary,0.8181818181818182
ceftiofur,clsi,Base,cattle,sens,binary,0.9333333333333333
ceftiofur,clsi,Base,cattle,ppv,binary,0.9333333333333332
ceftiofur,clsi,Base,cattle,npv,binary,0.8181818181818182
ceftiofur,clsi,Base,cattle,accuracy,binary,0.9024390243902439
ceftiofur,clsi,Base,cattle,f_meas,binary,0.9333333333333333
ampicillin,ecoff,Base,cat,spec,binary,0.625
ampicillin,ecoff,Base,cat,sens,binary,1
ampicillin,ecoff,Base,cat,ppv,binary,0.7
ampicillin,ecoff,Base,cat,npv,binary,1
ampicillin,ecoff,Base,cat,accuracy,binary,0.8
ampicillin,ecoff,Base,cat,f_meas,binary,0.8235294117647058
ampicillin,ecoff,Base,swine,spec,binary,0.9090909090909091
ampicillin,ecoff,Base,swine,sens,binary,0.9
ampicillin,ecoff,Base,swine,ppv,binary,0.9
ampicillin,ecoff,Base,swine,npv,binary,0.9090909090909091
ampicillin,ecoff,Base,swine,accuracy,binary,0.9047619047619048
ampicillin,ecoff,Base,swine,f_meas,binary,0.9
cefazolin,ecoff,Base,cat,spec,binary,0.8333333333333334
cefazolin,ecoff,Base,cat,sens,binary,0.6551724137931034
cefazolin,ecoff,Base,cat,ppv,binary,0.95
cefazolin,ecoff,Base,cat,npv,binary,0.3333333333333332
cefazolin,ecoff,Base,cat,accuracy,binary,0.6857142857142857
cefazolin,ecoff,Base,cat,f_meas,binary,0.7755102040816326
cefpodoxime,ecoff,Base,cat,spec,binary,0.75
cefpodoxime,ecoff,Base,cat,sens,binary,0.967741935483871
cefpodoxime,ecoff,Base,cat,ppv,binary,0.967741935483871
cefpodoxime,ecoff,Base,cat,npv,binary,0.7500000000000002
cefpodoxime,ecoff,Base,cat,accuracy,binary,0.9428571428571428
cefpodoxime,ecoff,Base,cat,f_meas,binary,0.967741935483871
ceftazidime,ecoff,Base,cat,spec,binary,1
ceftazidime,ecoff,Base,cat,sens,binary,NA
ceftazidime,ecoff,Base,cat,ppv,binary,NA
ceftazidime,ecoff,Base,cat,npv,binary,NA
ceftazidime,ecoff,Base,cat,accuracy,binary,1
ceftazidime,ecoff,Base,cat,f_meas,binary,NA
ceftazidime,ecoff,Base,horse,spec,binary,0.5
ceftazidime,ecoff,Base,horse,sens,binary,1
ceftazidime,ecoff,Base,horse,ppv,binary,0.9285714285714286
ceftazidime,ecoff,Base,horse,npv,binary,1
ceftazidime,ecoff,Base,horse,accuracy,binary,0.9333333333333333
ceftazidime,ecoff,Base,horse,f_meas,binary,0.962962962962963
chloramphenicol,ecoff,Base,cat,spec,binary,1
chloramphenicol,ecoff,Base,cat,sens,binary,0.9705882352941176
chloramphenicol,ecoff,Base,cat,ppv,binary,1
chloramphenicol,ecoff,Base,cat,npv,binary,0.6666666666666666
chloramphenicol,ecoff,Base,cat,accuracy,binary,0.9722222222222222
chloramphenicol,ecoff,Base,cat,f_meas,binary,0.9850746268656716
chloramphenicol,ecoff,Base,dog,spec,binary,0.6666666666666666
chloramphenicol,ecoff,Base,dog,sens,binary,0.9393939393939394
chloramphenicol,ecoff,Base,dog,ppv,binary,0.96875
chloramphenicol,ecoff,Base,dog,npv,binary,0.5000000000000003
chloramphenicol,ecoff,Base,dog,accuracy,binary,0.9166666666666666
chloramphenicol,ecoff,Base,dog,f_meas,binary,0.9538461538461539
doxycycline,ecoff,Base,cat,spec,binary,0.75
doxycycline,ecoff,Base,cat,sens,binary,1
doxycycline,ecoff,Base,cat,ppv,binary,0.9722222222222222
doxycycline,ecoff,Base,cat,npv,binary,1
doxycycline,ecoff,Base,cat,accuracy,binary,0.9743589743589743
doxycycline,ecoff,Base,cat,f_meas,binary,0.9859154929577464
doxycycline,ecoff,Base,dog,spec,binary,0.9
doxycycline,ecoff,Base,dog,sens,binary,0.9166666666666666
doxycycline,ecoff,Base,dog,ppv,binary,0.9565217391304348
doxycycline,ecoff,Base,dog,npv,binary,0.8181818181818181
doxycycline,ecoff,Base,dog,accuracy,binary,0.9117647058823529
doxycycline,ecoff,Base,dog,f_meas,binary,0.9361702127659574
enrofloxacin,ecoff,Base,cattle,spec,binary,0.09090909090909091
enrofloxacin,ecoff,Base,cattle,sens,binary,1
enrofloxacin,ecoff,Base,cattle,ppv,binary,0.7727272727272727
enrofloxacin,ecoff,Base,cattle,npv,binary,1
enrofloxacin,ecoff,Base,cattle,accuracy,binary,0.7777777777777778
enrofloxacin,ecoff,Base,cattle,f_meas,binary,0.8717948717948718
enrofloxacin,ecoff,Base,swine,spec,binary,1
enrofloxacin,ecoff,Base,swine,sens,binary,0
enrofloxacin,ecoff,Base,swine,ppv,binary,NA
