mic_id,breakpoint,gene,possible,important,possible_loo,important_loo,s0,ef_2,ef_3,ef_5,ef_10
amikacin,clsi,dog,TRUE,FALSE,TRUE,TRUE,0,0.27142331618718507,0.6068234562163127,0.9234911964401492,0.9989582601023564
amoxicillin_clavulanic_acid,clsi,bla_ec_13,TRUE,FALSE,TRUE,TRUE,0,0.6896482956713778,0.9444569794869307,0.994820452975653,0.9992254402116116
ceftazidime,clsi,ctx_m_116,TRUE,FALSE,TRUE,TRUE,-5.777207868960554,0.3746236808783659,0.7354430645606311,0.9586824842655816,0.9984803163450128
ceftazidime,clsi,bla_ec,TRUE,FALSE,TRUE,TRUE,-6.261085200255701,0.15620553099921805,0.34201236491063186,0.6518309496839321,0.935209629012122
ceftazidime,clsi,bla_tem_1,TRUE,FALSE,TRUE,TRUE,-5.386833171771976,0.300397007130798,0.6389431649352384,0.9259282933616408,0.9976515799398284
ceftazidime,clsi,bla_tem_150,TRUE,FALSE,TRUE,TRUE,-5.0746931349213185,0.3746236808783659,0.7354430645606311,0.9586824842655816,0.9984803163450128
ceftazidime,clsi,bla_tem_1a,TRUE,FALSE,TRUE,TRUE,-5.058482449433994,0.3746236808783659,0.7354430645606311,0.9586824842655816,0.9984803163450128
ampicillin,ecoff,horse,TRUE,FALSE,TRUE,TRUE,-3.6410266245142384e-4,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:cmy_2,TRUE,FALSE,TRUE,TRUE,-0.0424372935835951,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:cmy_107,TRUE,FALSE,TRUE,TRUE,-0.05948539006141703,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:cmy_130,TRUE,FALSE,TRUE,TRUE,-0.06002537032344626,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_1,TRUE,FALSE,TRUE,TRUE,-0.048313491609621,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_101,TRUE,FALSE,TRUE,TRUE,-0.03260851720448626,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_14,TRUE,FALSE,TRUE,TRUE,-0.01902813440522564,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_15,TRUE,FALSE,TRUE,TRUE,-0.00980391082032183,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_27,TRUE,FALSE,TRUE,TRUE,-0.004530047731511,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_32,TRUE,FALSE,TRUE,TRUE,-0.0018999998230073,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:ctx_m_55,TRUE,FALSE,TRUE,TRUE,-7.303930278850566e-4,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec,TRUE,FALSE,TRUE,TRUE,-2.5939553774884745e-4,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec_13,TRUE,FALSE,TRUE,TRUE,-8.567530288552773e-5,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec_15,TRUE,FALSE,TRUE,TRUE,-2.646574562455528e-5,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec_18,TRUE,FALSE,TRUE,TRUE,-7.683382869440478e-6,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec_19,TRUE,FALSE,TRUE,TRUE,-2.10518333583112e-6,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec_5,TRUE,FALSE,TRUE,TRUE,-5.463888758680176e-7,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:bla_ec_8,TRUE,FALSE,TRUE,TRUE,-1.347749198023197e-7,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:lap_2,TRUE,FALSE,TRUE,TRUE,-3.1686814221396424e-8,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:oxa_1,TRUE,FALSE,TRUE,TRUE,-0.00999078851657549,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
ampicillin,ecoff,horse:oxa_114g,TRUE,FALSE,TRUE,TRUE,-0.00609684714738328,0.5022121406298626,0.8345966573844406,0.9722494573718368,0.9958150947357564
cefazolin,ecoff,cat:binary,TRUE,FALSE,TRUE,TRUE,0,0.05000727507646098,0.0500122610427416,0.05002169160911461,0.05004187228052734
cefazolin,ecoff,cat:count,TRUE,FALSE,TRUE,TRUE,0,0.05000727507646098,0.0500122610427416,0.05002169160911461,0.05004187228052734
ceftazidime,ecoff,ctx_m_14,TRUE,FALSE,TRUE,TRUE,0,0.4968627870671863,0.8677548426086027,0.9921813248862864,0.999939324472649
ceftazidime,ecoff,bla_ec,TRUE,FALSE,TRUE,TRUE,0,0.20970802518821124,0.4731130232687524,0.816491591887979,0.9882680569940218
